product_name,product_price,product_quantity,date_updated,brand_name
Endura Shield,$159.30,97,11/1/2018,Mithril Works
Golden Ale,$4.99,176,10/28/2021,Shire Brews
Elanor Loom,$75.99,23,3/7/2021,Rivendell Crafts
Citadel Charger,$59.99,86,10/18/2023,Gondor Gadgets
Orthanc Oscillator,$25.99,22,11/6/2018,Isengard Industries
Eorl Express,$19.25,67,1/10/2018,Rohan Riders
Entwood Essence,$16.77,49,10/1/2018,Fangorn Forestry
Galadriel Garments,$45.44,62,3/9/2019,Lothlorien Looms
Fangorn Fantasy,$100.64,73,2/9/2019,Ent Entertainment
Butterbur Buns,$5.99,24,7/31/2018,Bree Bakery
Arkenstone Artifacts,$144.49,88,1/12/2019,Erebor Exports
Hobbiton Honeycakes,$4.99,47,9/22/2018,Bree Bakery
Treebeard's Tales,$34.60,44,1/20/2018,Ent Entertainment
Smaug's Spices,$18.51,44,3/22/2018,Erebor Exports
Théoden Throttle,$31.15,67,1/13/2018,Rohan Riders
Saruman Sensors,$8.69,21,2/4/2018,Isengard Industries
Treebeard Timber,$115.06,72,1/12/2018,Fangorn Forestry
Vilya Vase,$160.59,33,6/6/2023,Rivendell Crafts
White Tree Wireless,$49.99,50,8/25/2023,Gondor Gadgets
Huorn Habitat,$37.61,57,4/15/2018,Fangorn Forestry
Anduin Adventures,$145.70,4,11/29/2019,Minas Mirth
Old Toby Porter,$8.99,102,4/10/2023,Shire Brews
Mallorn Mantles,$15.70,8,1/9/2019,Lothlorien Looms
Lindon Lanterns,$69.99,5,12/19/2023,Rivendell Crafts
Uruk Forge,$4.20,6,6/11/2018,Isengard Industries
Quickbeam Quests,$82.91,20,6/8/2018,Ent Entertainment
Dark Tower Design,$98.14,71,7/26/2018,BaradDur Builders
Greenleaf Gardening,$17.41,54,3/10/2018,Fangorn Forestry
Durin's Durables,$69.99,18,1/29/2023,Erebor Exports
Gondorian Games,$48.99,15,5/18/2023,Minas Mirth
